tconst,averageRating,numVotes
tt0166110,4.3,7532
tt0166158,5.6,2371
tt0166186,5.7,66
tt0166192,5.5,217
tt0166276,4.7,17747
tt0166339,7.8,10
tt0166370,4.8,1854
tt0166813,7.1,74034
tt0166924,7.9,346937
tt0167116,6.0,3275
tt0167183,4.7,219
tt0167190,6.8,322628
tt0167203,5.5,4631
tt0167260,9.0,1770431
tt0167261,8.8,1599327
tt0167360,5.4,927
tt0167367,4.5,558
tt0167456,4.2,13829
tt0168446,7.1,3263
tt0168504,5.6,1651
tt0168509,6.2,28
tt0168578,4.5,139
tt0168612,5.1,158
tt0168629,7.9,108294
tt0168631,4.7,614
tt0168714,2.6,25
tt0168786,7.3,35450
tt0168856,6.0,6504
tt0169102,8.1,111801
tt0169122,3.5,467
tt0169324,5.7,802
tt0169543,5.6,743
tt0169579,6.5,41
tt0170008,5.3,153
tt0170016,6.2,239675
tt0170260,5.6,672
tt0170367,5.7,40
tt0170452,5.2,621
tt0170508,6.8,199
tt0170691,7.0,40851
tt0171339,3.3,113
tt0171356,5.6,7446
tt0171359,5.9,9523
tt0171433,6.4,51692
tt0171580,6.3,35091
tt0171827,7.8,83
tt0172156,6.6,246267
tt0172464,3.1,486
tt0172495,8.5,1448123
tt0172543,7.0,3668
tt0172632,6.5,1584
tt0172699,4.6,236
tt0172794,4.0,421
tt0172949,3.8,81
tt0172995,5.4,205
tt0173498,4.8,316
tt0173568,6.2,373
tt0173716,6.2,15720
tt0173840,6.4,81821
tt0174336,4.4,4161
tt0174480,5.6,26322
tt0174646,6.2,42
tt0174732,6.1,151
tt0175114,7.3,27
tt0175142,6.2,253956
tt0175526,5.2,13507
tt0176185,4.4,295
tt0176244,3.9,451
tt0176578,6.9,14
tt0176579,2.4,480
tt0176650,2.7,513
tt0176694,8.0,904
tt0176783,5.9,16448
tt0176883,5.2,294
tt0177068,5.2,763
tt0177185,3.8,425
tt0177195,4.1,403
tt0177213,7.1,59
tt0177513,5.1,40
tt0177636,5.5,289
tt0177650,5.2,2083
tt0177845,6.2,1308
tt0177858,7.7,21889
tt0177882,6.6,4995
tt0177885,4.5,477
tt0177888,5.9,561
tt0177971,6.4,165330
tt0177997,3.9,348
tt0178043,6.2,1301
tt0178050,5.5,1685
tt0178642,5.5,3066
tt0179098,6.6,14099
tt0179144,6.0,56
tt0179183,4.5,6964
tt0179344,2.6,205
tt0179400,5.8,69
tt0179435,5.3,725
tt0179443,3.5,1081
tt0179473,4.1,1498
tt0179626,6.1,50181
tt0179653,7.0,74
tt0179803,4.9,146
tt0179861,3.5,1175
tt0180052,3.8,25713
tt0180073,7.3,53876
tt0180093,8.3,818116
tt0180679,6.2,1845
tt0180683,6.0,139
tt0180734,6.4,31121
tt0181151,5.6,9456
tt0181311,5.5,810
tt0181536,7.3,85805
tt0181689,7.7,538673
tt0181739,6.3,35626
tt0181836,5.7,2365
tt0181852,6.3,393236
tt0181865,7.6,205260
tt0181875,7.9,271482
tt0181945,5.8,137
tt0181984,7.0,52554
tt0182000,5.8,7888
tt0182027,5.9,81
tt0182295,5.9,4646
